Athlete,Age,Country,Year,Gold Medals,Silver Medals,Bronze Medals,Total Medals
A. J. Mleczko,26,United States,2002,0,1,0,1
Aaron Miller,30,United States,2002,0,1,0,1
Aaron Peirsol,25,United States,2008,2,1,0,3
Aaron Peirsol,21,United States,2004,3,0,0,3
Aaron Peirsol,17,United States,2000,0,1,0,1
Abby Johnston,22,United States,2012,0,1,0,1
Abby Wambach,32,United States,2012,1,0,0,1
Abby Wambach,24,United States,2004,1,0,0,1
Adam Deadmarsh,26,United States,2002,0,1,0,1
Adam Everett,23,United States,2000,1,0,0,1
Adam Nelson,29,United States,2004,0,1,0,1
Adam Nelson,25,United States,2000,0,1,0,1
Adam Wheeler,27,United States,2008,0,0,1,1
Adam Wright,31,United States,2008,0,1,0,1
Adrienne Martelli,24,United States,2012,0,0,1,1
Alex Izykowski,22,United States,2006,0,0,1,1
Alex Morgan,23,United States,2012,1,0,0,1
Alicia Sacramone,20,United States,2008,0,1,0,1
Alison Bartosik,21,United States,2004,0,0,2,2
Alison Cox,25,United States,2004,0,1,0,1
Alison Gregorka,23,United States,2008,0,1,0,1
Allan Houston,29,United States,2000,1,0,0,1
Allen Iverson,29,United States,2004,0,0,1,1
Allison Baver,29,United States,2010,0,0,1,1
Allison Schmitt,22,United States,2012,3,1,1,5
Allison Schmitt,18,United States,2008,0,0,1,1
Allyson Felix,26,United States,2012,3,0,0,3
Allyson Felix,22,United States,2008,1,1,0,2
Allyson Felix,18,United States,2004,0,1,0,1
Alonzo Mourning,30,United States,2000,1,0,0,1
Alvin Harrison,26,United States,2000,0,1,0,1
Aly Dudek,19,United States,2010,0,0,1,1
Aly Raisman,18,United States,2012,2,0,1,3
Aly Wagner,27,United States,2008,1,0,0,1
Aly Wagner,24,United States,2004,1,0,0,1
Alyssa Anderson,21,United States,2012,1,0,0,1
Amanda Beard,22,United States,2004,1,2,0,3
Amanda Beard,18,United States,2000,0,0,1,1
Amanda Freed,24,United States,2004,1,0,0,1
Amanda Weir,18,United States,2004,0,2,0,2
Amanda Weir,26,United States,2012,0,0,1,1
Amar'e Stoudemire,24,United States,2004,0,0,1,1
Amber Stachowski,21,United States,2004,0,0,1,1
Amy Chow,22,United States,2000,0,0,1,1
Amy LePeilbet,30,United States,2012,1,0,0,1
Amy Rodriguez,25,United States,2012,1,0,0,1
Amy Rodriguez,21,United States,2008,1,0,0,1
Amy Tryon,34,United States,2004,0,0,1,1
Amy Van Dyken,27,United States,2000,2,0,0,2
Andre Dirrell,21,United States,2004,0,0,1,1
Andre Iguodala,28,United States,2012,1,0,0,1
André Ward,20,United States,2004,1,0,0,1
Andrea Anderson,23,United States,2000,1,0,0,1
Andrea Duran,24,United States,2008,0,1,0,1
Andrea Kilbourne,21,United States,2002,0,1,0,1
Andrew Rock,22,United States,2004,1,0,0,1
Andrew Weibrecht,24,United States,2010,0,0,1,1
Angel McCoughtry,25,United States,2012,1,0,0,1
Angela Hucles,30,United States,2008,1,0,0,1
Angela Hucles,26,United States,2004,1,0,0,1
Angela Ruggiero,30,United States,2010,0,1,0,1
Angela Ruggiero,26,United States,2006,0,0,1,1
Angela Ruggiero,22,United States,2002,0,1,0,1
Angelo Taylor,29,United States,2008,2,0,0,2
Angelo Taylor,33,United States,2012,0,1,0,1
Angelo Taylor,21,United States,2000,1,0,0,1
Anna Goodale,25,United States,2008,1,0,0,1
Anna Kozlova,31,United States,2004,0,0,2,2
Anna Mickelson-Cummins,28,United States,2008,1,0,0,1
Anna Mickelson-Cummins,24,United States,2004,0,1,0,1
Anna Tunnicliffe,25,United States,2008,1,0,0,1
Annia Hatch,26,United States,2004,0,2,0,2
Annika Dries,20,United States,2012,1,0,0,1
Anthony Davis,19,United States,2012,1,0,0,1
Anthony Ervin,19,United States,2000,1,1,0,2
